id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
U60_PkV47b0,Diana Wang (王詩安) - Tomorrow (明天) ft. 王蕾 & Khalil Fong (方大同) Official Music Video,2017-10-31,10,1678586,10028,175
EiGtnhdzIXc,原來的我 - Julia Wu 吳卓源｜Official Music Video,2018-05-15,10,2073701,12421,251
p3KySSDKUhY,Xu Yao Ren Pei,2015-08-12,10,20379,177,20
P8uJ4gFjJGE,陳忻玥 Vicky Chen - 煙幕 (Smokescreen)｜ 彩虹六部曲【第一次】La Boum Official MV | KKTV原創電視劇,2017-12-18,10,11502016,52782,1186
Amz4fHUapLk,J.Sheon - 壞蛋特調 _Specially Made (Official Music Video) - 美味星棒棒糖主題曲,2018-01-11,10,6307263,18836,525
k6ML9oIXHco,Yacht,2018-07-13,10,36253,540,62
8TyIAVmovDo,[MV] Genneo _ Think About Us,2015-04-06,10,76591,2859,20
zOEISgh7k_g,JC - 說散就散 Lyrics Video,2016-06-20,10,91679591,205730,10229
MPvhmneqUvE,억 Uck (Feat. CHANGMO) (Prod. CHANGMO),2018-10-29,10,2033520,3690,495
aYlXNpaQydk,REALLY REALLY,2017-04-04,10,881166,8545,1541
Q4fYtFmoWDk,Jackson Wang - Different Game (Official Video) ft. Gucci Mane,2018-11-07,10,11968597,351921,2221
YyWru2XOiK0,Tyga - Dip (Official Video) ft. Nicki Minaj,2018-10-29,10,92451642,1066570,60848
R5y0IhWDU-g,WANT IT (feat. Dragon Pig),2016-10-13,10,8194,101,4
w4nihuYVTW0,What is Love?,2018-04-11,10,1916059,16388,2957
3AIII5SN0N0,YES or YES,2018-11-05,10,2370305,15430,5354
S3Q966mgeSc,라비앙로즈 (La Vie en Rose),2018-10-29,10,2054780,12380,3573
F6VfsJ7LAlE,A$AP Rocky - Fashion Killa (Explicit Version),2013-09-26,10,55468246,331745,12200
tRa3fOlnN7k,J.Sheon - 別問很可怕 _Don't Ask (Official Music Video),2017-06-08,10,10196822,53006,1072
E-VVL49KQlM,BCW FT. 家家《東岸》[Official Music Video],2018-10-05,10,1752684,13054,524
yjWwfDW9IoA,卓義峯 Yifeng Zhuo -〈再見煙火〉Goodbye Firework【豐華唱片official 官方MV】,2018-09-18,10,12760485,37044,1201
vQs46lQi6jk,Gen Neo 梁根荣 － Missing You (feat.汪小敏 Tracy Wang) (官方MV),2017-08-28,10,750356,7169,65
wLtk3-b5pZ8,盧瑮莉 LILY 【那個人該是我】 Official Music Video,2017-09-05,10,2068761,12879,265
cH0SDpPgbPc,"Gen Neo 梁根荣,  Fei 霏 - 你 會不會（官方MV）",2018-09-16,10,442308,7815,40
_4u3CjMDb0s,Gen Neo 梁根荣 - 每分每秒 (官方完整版/ Official Full Audio),2017-03-21,10,104546,1402,11
MJMfU2Od2T8,你是不是有點動心 - Julia Wu 吳卓源｜Official Music Visual (HD),2017-01-18,10,9308821,45659,786
pYwERJKWez8,萬年 - Julia Wu 吳卓源｜Official Music Video,2018-10-18,10,453723,6626,60
KL_x1dC8P5c,rudderless (나),2018-10-02,10,320633,1251,383
XsQ0jN-SnmQ,Coupe,2018-10-18,10,8443,182,15
HWhhMKXAFpo,Gen Neo 梁根榮 - 從今以後 （官方MV）,2018-09-28,10,174143,3704,18
Vc8xup0UzPE,人质 (Urban R&B 翻唱改编) - Gen Neo 梁根荣 (Concept Video),2016-08-01,10,162490,2953,17
8Q6K43alRDo,Gen Neo 梁根荣 - 陌生朋友 （官方完整版 / Official Full Audio),2017-09-20,10,188285,2546,22
ldDC73hob2I,Gen Neo 梁根荣 - Come With Me (Official Full Audio),2017-12-28,10,131972,2380,19
Eww37rpEyfs,Gen Neo 梁根荣 - 后退 （官方MV）,2017-08-17,10,439939,6084,40
vQaiRSgq2Cc,Gen Neo 梁根荣 - STOP SUGAR (Official MV) 官方MV,2016-12-10,10,333196,5202,23
5uEVbzD_Ta4,[미스터 션샤인 OST Part 5] 멜로망스 (MeloMance) - 좋은 날 (Good Day) MV,2018-08-05,10,8333418,27111,1368
TNWMZIf7eSg,[MV] SUNMI(선미) _ Siren(사이렌),2018-09-04,10,37545562,784252,13865
nM0xDI5R50E,[MV] IU(아이유) _ BBIBBI(삐삐),2018-10-10,10,82210066,1374922,39361
x2MJXrCaAYY,Mrs. Officer,2018-07-31,10,44532,202,20
eLTFJOA2C_E,Mercury Records,2018-07-30,10,20964,223,17
rcwJvgs53Ng,"[MV] 소유 (SOYOU) - 까만밤 (PROD. Groovy Room, OREO) With. SIK-K",2018-10-04,10,1298179,52596,809
CbNmRJCkwQs,[MV] PARK WON(박원) _ all of my life,2017-07-27,10,18016127,86478,2231
WZrLs9hto04,[MV] Park Won(박원) _ rudderless(나),2018-10-01,10,2659552,17690,356
HYaYTxRK0lU,Ma Boy 2 (feat. 효린),2015-02-25,10,3737,59,5
kNjT7VAq0Bs,"[MV] Kisum(키썸), Homme(옴므) _ 3 SEC(3초)",2015-09-02,10,784231,5749,121
nxvm4P0jFKY,August Alsina - No Love ft. Nicki Minaj,2014-09-15,10,299850276,1287229,68923
Ew4VvF0DPMc,Eric周興哲《以後別做朋友》Official Music Video,2014-09-19,10,144408979,216558,8745
wFtBcoZ76Uk,Love In This Club (Main Version),2017-01-28,10,76228,1440,188
dBrRBZy8OTs,T-Pain - Buy U A Drank (Shawty Snappin') ft. Yung Joc (Official Music Video),2009-10-25,10,117659459,636085,23451
aw50xPhFtd4,Jennifer Hudson - Spotlight (Debut Single),2008-05-16,10,5973248,6535,307
Y7DgZFurtIQ,Lil Wayne ft. Bobby Valentino - Mrs. Officer (With Lyrics),2009-07-06,10,735888,4651,220
82t_UOMHPJY,J. Holiday - Bed,2007-07-16,10,49785626,288598,9159
qH1wbp-FASo,Love in This Club,2017-04-08,10,1003591,17147,1640
_L-9APlTc6M,Ailee(에일리) _ Ice Flower(얼음꽃) (Yawang OST Part.2) MV,2013-01-30,10,2509937,11030,345
UL4xVMtXP8k,[M/V] MaBoy2 (Feat. 효린 of Sistar) - 일렉트로보이즈 Electroboyz,2011-11-17,10,7308116,41689,993
Zgny6lBHmQc,如果不是你-游艺湉,2012-06-18,10,450590,1180,40
u94VpYq0RIw,"Tiësto Club Life, Vol. 2 - Miami - Walls (feat. Quilla) [Original Mix]",2012-04-26,10,650035,2256,97
IxLV7M1sdjg,B1A4 - 걸어 본다 (TRIED TO WALK - Full ver.),2012-11-13,10,11628378,117019,1716
g087JgMc9D4,李聖傑 - 擦肩而過/ Sam Li Sheng Jie - Ca Jian Er Guo w Subs,2008-05-05,10,764369,1052,50
o9eYJbehU7Q,LISA(리사) _ Woman(여자) MV,2012-11-13,10,81953,1436,30
8WqEp8nbgPg,Ailee(에일리) _ Evening sky(저녁 하늘) MV,2012-11-01,10,12651781,62243,1373
scS64l3wvew,Midsummer Madness,2018-07-19,10,1244461,16474,1996
xPvwDcrT6rU,Alicia Keys - Like You'll Never See Me Again (Official Music Video),2009-10-03,10,45669428,147044,3921
_H7ZG7yk5Wo,Girl's Day(걸스데이) _ Don't forget me(나를 잊지마요) MV,2012-10-26,10,13268490,72269,1894
RuQgrjLkoho,Love Alone (Luca Schreiner Remix),2018-09-12,10,6205,90,32
6JO1V-bCh04,Neon Sky (Mokita Remix),2018-09-11,10,2793,59,7
2xTy-tklthw,When I See You,2018-02-22,10,21920,337,82
ZLTbB_qqBHo,Only U (너만이) (Feat. Heize) (헤이즈),2016-09-29,10,41102,316,61
_JerwGfJ1ro,Love Alone,2018-05-24,10,59988,577,276
H6SShCF58-U,方泂鑌 A-Bin【最笨的人是我 The Fool】特別演出：嚴正嵐、張耀仁 HD 高清官方完整版 MV,2017-10-11,10,27980302,56172,2235
j0XAlXNPKlI,술래 SULLAE,2018-06-04,10,40210,303,28
T_rUtj0Ifos,Electricity,2018-09-04,10,4326318,39177,14633
AYN5Gf2gCF4,王大毛 - 去年夏天（Wang Damao - Last Summer/mùa hè năm ngoái） 『還有什麽等待  還有什麽悲哀...』「正版原聲♫   動態歌詞」,2018-08-31,10,3179410,20824,399
c2j_yc5IBBs,I.C Charlie Live - @ Ultra Music Festival Taiwan 2018,2018-09-29,10,82609,3442,61
VhHQyb4r9Xg,李袁傑 - 離人愁『我應在江湖悠悠 飲一壺濁酒...』【動態歌詞Lyrics】,2018-03-16,10,22449826,68762,5556
7WxQABP_V_Q,Shang - 斷線『難過的時候誰也不會獨自孤單掉著淚。』【動態歌詞Lyrics】,2018-06-14,10,340544,4827,69
vtplb9UOfYQ,Ryan.B of CNBALLER、AY楊佬參 - 再也沒有『我選擇放過自己...同時放過你。』【動態歌詞Lyrics】,2018-03-06,10,324938,3585,53
uweOiH7ioKw,屁股大,2016-06-22,10,3191,19,4
WC2XFhRohRc,[MV] LYn(린) _ Love Story (The Legend of The Blue Sea(푸른 바다의 전설) OST Part.1),2016-11-29,10,3665974,36465,461
eiJ0cYjx2eg,魏新雨 - 戀人心 [歌詞字幕][電視劇《花千骨》插曲][完整高音質] The Journey of Flower Theme Song - Lovers Heart,2014-08-04,10,3273650,10229,227
--zku6TB5NY,BIGBANG - ‘LAST DANCE’ M/V,2016-12-12,10,87813412,1045490,14698
Fzr40i_Sh58,We Loved (남이 될 수 있을까),2017-06-13,10,563555,3282,605
mKYWLqAvdzU,[JOY RICH] [新歌] 劉佳 - 愛的就是你,2012-06-07,10,9297842,72238,1443
Y8iv4z5wJOk,"[MV] 린 (Lyn), 한해 (HanHae) - LOVE (Are You Human? OST Part.2) 너도 인간이니? OST Part.2",2018-06-13,10,13676725,75197,1778
0SGSizfLVow,劉思達、h3R3、桑娜 - 帶你去海邊『我承諾愛你比這海水更多~』【動態歌詞Lyrics】,2018-08-11,10,77410,816,18
ZCJ8wbFNKXA,毛不易 - 消愁（高清無雜音）【動態歌詞Lyrics】,2018-03-12,10,190393,1301,26
Oa49Nym7wJk,王貳浪 - 往後餘生（COVER 馬良）『心底溫柔是你，目光所致也是你。』【動態歌詞Lyrics】,2018-06-27,10,37801377,90260,4035
TvSLCxXyrBA,街道辦、歐陽耀瑩 - 春嬌與志明【抖音裡的粵語RAP】【動態歌詞Lyrics】,2018-04-07,10,2636417,14550,411
hgIDXTmmgDg,張紫豪 - 可不可以『不希望我的未來不是你，只願意和你永遠不分離。』【動態歌詞Lyrics】,2018-08-22,10,43993038,138393,5703
qL82-MmT8RA,听说爱情回来过 - 林忆莲,2012-04-06,10,9786168,15672,1749
rPg8db2GJYM,愛一點,2015-07-08,10,4867,43,7
ELScjuBfGYQ,Na Zou Le Shen Mo,2015-01-22,10,16527,166,13
mrJW7HwbRC4,思念是一種病,2017-02-18,10,8409,66,19
-K4dc7861Rs,"新樂塵符 - 楊舒然 - 撩一下『小哥哥,我只是想和你玩個過家家~』【動態歌詞Lyrics】",2018-07-16,10,1456086,9233,182
lTfQ-EKHrx8,郁歡 - 煙火裡的塵埃（COVER）『就讓我聽著天大的道理， 不願意明白。』【動態歌詞Lyrics】,2018-05-16,10,77096,852,27
N9yS6lll1rk,潘瑋柏 Will Pan  - Moonlight (feat. TIA RAY 袁婭維) (English Ver.)【華納 Official MV】,2018-09-10,10,6375234,49550,968
5FK0qCEQ3L0,G.E.M.【另一個童話 MY FAIRYTALES】Official Audio [HD] 鄧紫棋,2018-09-07,10,7382719,33469,828
z9drIRdLh88,林俊傑 JJ Lin【醉赤壁 Tales of the Red Cliff】官方完整版 MV,2012-01-06,10,4021819,26317,671
qf09H2xFq2s,aMEI張惠妹 [ Full Name 連名帶姓 ] Official Music Video,2017-12-05,10,58729167,97156,6209
KkOF8UiB7u8,Khalid - Better (Audio),2018-09-14,10,55709373,406075,10051
jEN_mymgfms,Reverse,2018-07-20,10,9532,158,10
G97_rOdHcnY,林俊傑 JJ Lin【江南 River South】官方完整版 MV,2012-04-13,10,12430391,35427,1219
VRK6ESjlc-c,有点甜 (feat. By2),2016-01-19,10,285899,3551,691
timiyUIdTyc,Ai De Jiu Shi Ni,2015-08-12,10,6693,55,12
AxD3dLKRgk4,Ni Bu Zhi Dao De Shi,2015-08-12,10,138910,566,83
HQhOhO3JSG0,Wei Yi,2015-08-12,10,11021,81,11
teYRTeI2yJY,掌嘴、張雪飛、Lil-7 - 只想對你說『我忘不掉你那深邃的眼眸，想給你一生一世的溫柔。』【動態歌詞Lyrics】,2018-07-05,10,154264,2766,28
9_zhRU93Udo,劉增瞳 - 你怕不怕失去我『我只是在等你開口，你懂不懂...』【動態歌詞Lyrics】,2018-04-28,10,427712,2999,48
YkLyTXJYwgI,任然 - 疑心病『我會用這一生為你守候。』【動態歌詞Lyrics】,2018-03-04,10,52115176,89873,4725
FuDdstaZXdw,Lizm Ladyhao - 紙短情長『我的故事都是關於你呀。』【動態歌詞Lyrics】,2018-04-04,10,50981210,100358,6239
HTPRLsWMbKI,愛我別走,2016-02-02,10,44347,300,83
ULcmgv837MQ,王力宏 Leehom Wang - Forever Love (Clean Version),2009-10-03,10,10183703,27230,860
w41gqTFYh08,王力宏 Leehom Wang - 心跳,2009-10-03,10,7327133,18787,568
WUOzgEpVHWw,Obviously...,2017-01-09,10,3685,28,1
kfXdP7nZIiE,周杰倫 Jay Chou (with 楊瑞代)【等你下課 Waiting For You】歌詞版MV,2018-01-17,10,99725311,287952,16651
SewFDOy3d5A,Wanan 《I don't want to sleep》 齐悦 Unusual 怪人 张佳伦 【抖音 音乐】,2018-08-22,10,23286,360,5
4RtqzOs14Iw,Don't Ask,2017-04-04,10,12619,109,21
GKF5zbixFFQ,This is love,2017-01-09,10,14461,99,15
q3G-DtrVlAE,Too Much (지나쳐) (Feat. DEAN),2017-05-25,10,494941,3005,436
COu9-L9jmCY,If Only,2015-10-17,10,200382,1235,252
q_oD7Ay_SfM,Those Were The Days,2014-11-08,10,142477,889,232
El2KPBO-_uk,Nice For What,2018-07-26,10,5676021,71339,21497
vdXsLt0o_9g,All The Stars,2018-11-23,10,546967,9395,1287
48ydDUQ16RE,Unforgettable,2017-07-13,10,7782138,102954,21027
d1wy6LWfHAs,Psycho,2018-04-27,10,16380378,191694,42429
sfQGCIcpfdU,Girls Like You,2018-06-14,10,10987103,135314,63107
Z-UbDR0nopI,Ai Ni,2015-09-25,10,105631,770,194
aotSKfM1oFY,Liu Xing Yu,2015-08-12,10,92284,325,70
Spp_Ql7j5Vk,Qing Fei De Yi,2014-11-08,10,93457,1155,188
eelfrHtmk68,Dean - D (Half Moon) ft. Gaeko,2016-04-19,10,24553668,225393,2010
p5GB7eXW8Lw,Jay Park - Yacht ft. Vic Mensa,2018-07-20,10,1658685,78463,808
BBVLj_PSsZ8,Jackson Wang - Papillon (Official Music Video),2017-08-26,10,26828984,805641,10612
0NK9tN33ymg,서인국 (Seo In Guk) - BeBe MV (ENG Sub),2016-12-28,10,3552821,92809,431
W0cs6ciCt_k,[도깨비 OST Part 4] 크러쉬 (Crush) - Beautiful MV (ENG Sub),2016-12-16,10,72799068,315664,6689
KjCwgGev7Xg,Sunshine (Prod. by HOLYHOOD),2016-10-18,10,23180,145,14
KwTg3cQ5ysA,박재범 Jay Park - 'Dank' (Official Audio),2018-09-10,10,1158421,34475,179
hBfn1Jg1GHw,Zai Ai Ni,2014-12-22,10,3945,22,1
0r18ruRxeZE,I Loved You,2016-07-18,10,15752,119,23
X-AvwyfuOdU,Walk Thru Fire (feat. Meron Ryan),2018-08-03,10,174600,3002,525
RQ_cixrcXZ0,Pour Up,2018-07-29,10,61794,968,70
ghJ3hC5N7-Y,[MV] Loco(로꼬) _ Thinking about you(자꾸 생각나) (feat. JAY PARK(박재범)),2014-11-25,10,7663692,68048,925
sEy0yOXasY4,廖俊濤《誰》官方高畫質 Official HD MV,2018-07-19,10,1511216,17656,248
BoTVJvvXNnc,Parade,2017-12-27,10,137945,1326,98
OVBtgbgv778,Yacht (K),2017-07-17,10,754912,4583,550
oqU5JRJb94Y,DA DA DA (Feat. Hoody),2017-05-25,10,99411,660,69
4J1rhu8xw_U,보이비 (Boi.B) - 아침에 다시 얘기해 (ADY) (Feat. 식케이 (Sik-K)) MV,2018-06-26,10,12208,696,6
Il0jlXkcNdc,"Birthday (Remix) (feat. Ugly Duck, Woodie Gochild & Hoody)",2017-12-11,10,48960,432,38
xJ9bbBfrjII,아름다워,2017-12-08,10,334951,1805,311
KltW7c7RUsI,D (Half Moon),2018-07-29,10,155660,1494,141
evQLfWsMG9M,COCO BOTTLE,2018-08-15,10,324657,2504,392
riG0Pv6mfaM,그래 그냥 내게 바로 Skip And Kiss (Prod. GroovyRoom),2018-07-13,10,85499,689,65
UDyPp9bkfD0,Martini Blue,2017-12-07,10,1060620,7755,678
jhnTY4Dp4Lg,party (SHUT DOWN) (Feat. 크러쉬 Crush),2017-06-07,10,732886,4424,732
kmUB6UPbZ5Q,Sunflower - 윤하(Younha) [SBS 드라마(Drama) 닥터스(Doctors) OST Part.2] [Official Audio],2016-06-27,10,7197903,30166,528
B3pLB4SAAHE,GAI - 愛如潮水改編+RAP版（高清去雜音）『如果你沒有她，你就一無所有？』【歌詞Lyrics】,2017-11-05,10,219335,1037,45
81oCkIJko5s,Company,2018-10-30,10,108171,2051,486
JhhLyIjrRJU,皇冠,2016-11-30,10,5333,88,8
SqPVMqamjSk,[MV] Loco(로꼬) _ Too Much(지나쳐) (Feat. DEAN),2017-05-25,10,6111065,57414,785
CtcHPuIDkIE,"[MV] Sik-K, pH-1, Jay Park(식케이, pH-1, 박재범) _ iffy (Prod. GroovyRoom)",2017-09-18,10,1803262,33497,872
36HvpOE4opQ,Sik-K (식케이) - 랑데뷰 (Rendezvous) MV,2016-07-19,10,6704220,57311,1572
