id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
5LrPqWAa8wA,July,2017-11-19,10,71765,1426,105
3sEMPbf_fmc,Like That,2018-05-17,10,121418,2839,176
w4nihuYVTW0,What is Love?,2018-04-11,10,1916535,16389,2957
NT8ePWlgx_Y,FAKE LOVE,2018-05-28,10,2528589,44189,3015
k6ML9oIXHco,Yacht,2018-07-13,10,36253,540,62
j-seAiANLG8,And July (Feat. DEAN & DJ Friz),2016-07-21,10,966693,7029,1232
N9yS6lll1rk,潘瑋柏 Will Pan  - Moonlight (feat. TIA RAY 袁婭維) (English Ver.)【華納 Official MV】,2018-09-10,10,6375566,49549,968
MAjY8mCTXWk,"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】Official MV 發燒影片華語地區蟬聯第一 美國直衝前二",2018-05-14,10,42989283,168803,13762
n-hy9MswmcA,原子邦妮 Astro Bunny 【這樣我就能忘記你了】Official Music Video 官方完整版高畫質MV,2018-09-19,10,4208295,23914,307
YSr3vtB-wvU,為你我受冷風吹 - Julia Wu 吳卓源｜Official Music Video,2017-06-25,10,3032351,16029,246
pYwERJKWez8,萬年 - Julia Wu 吳卓源｜Official Music Video,2018-10-18,10,453723,6626,60
V_p5WCnoZA0,為你我受冷風吹,2016-01-17,10,7749,86,9
kvCKA4lt9f4,潘瑋柏Will Pan / 24個比利專輯   [忘記擁抱] (官方完整 HD 版)MV,2012-09-13,10,2015761,9921,342
m6kiNlnJ2Uk,A-Lin《忘記擁抱 Forget Love》 Official Music Video HD - 電影『234說愛你』主題曲,2015-09-11,10,11386522,26913,697
BRcudpJzy1I,A-Lin《有一種悲傷 A Kind of Sorrow》Official Music Video - 電影『比悲傷更悲傷的故事』主題曲,2018-10-12,10,39259433,164187,3993
DPtiQdEe4v8,劉至佳 - 說愛你『像一個陷阱，卻從未猶豫相信。』【動態歌詞Lyrics】,2018-12-13,10,2031646,12238,207
m0mJrX8Br2k,[MV] 우연수 - 아프지 말고 아프지 말자,2017-11-14,10,12662,215,2
-e7CIlMRayY,[MV] Highlight(하이라이트) _ Loved(사랑했나봐),2018-11-20,10,5066277,174881,1027
hZmoMyFXDoI,[MV] BOL4(볼빨간사춘기) _ Some(썸 탈꺼야),2017-09-28,10,31886636,396582,4825
ImnohMZZJcc,[MV] YOUNHA(윤하) _ No answer(답을 찾지 못한 날),2018-03-15,10,242306,6660,57
nEuObwRXvvc,A-TEEN (에이틴) OST Part 4 Motte (모트)- Don't Run Away(도망가지마) [Color Coded Lyrics HAN/ROM/ENG],2018-09-17,10,458493,12370,66
SXrL17pMyvM,케이시 (Kassy) - 손을 잡아줘 / 웹툰 연놈 OST Part 1,2018-09-18,10,555621,4482,49
wCUO9Fk0QcQ,温嵐《同手同腳》Official 完整版 MV,2013-11-22,10,1432736,6513,209
ONkLOc-0gH4,温嵐《逆流的淚》Official 完整版 MV [HD],2013-10-17,10,3073346,9055,230
aUlHEtzcgQM,溫嵐 Jason - 能不能.flv,2011-01-16,10,99138,358,7
TSJu3CQ98Z0,Short Hair,2015-03-06,10,3719,36,3
KQTCO417h_M,Huang Hun (Sunset),2015-08-12,10,50096,436,65
kLka40yzGWQ,Alone (나혼자),2014-11-08,10,283121,2336,545
ToSna7drs1o,Only One,2015-06-23,10,113874,1141,205
02YSbpqB9kc,Let You Love Me,2018-11-22,10,4215128,46820,18618
4ibiGz2Em9I,信仰,2017-07-10,10,6288,58,6
ZA4XfWEApj4,體面,2018-11-05,10,4708,39,5
IslhmC1Sw-I,光澤 G.Z【空心 Emptiness】官方完整版 MV,2016-10-19,10,1717569,11054,297
